id,split,hidden_state_method
d029,train,answer_last
d039,train,answer_last
d022,train,answer_last
d028,train,answer_last
d082,train,answer_last
d018,train,answer_last
d009,train,answer_last
d087,train,answer_last
d023,train,answer_last
d035,train,answer_last
d030,train,answer_last
d083,train,answer_last
d001,train,answer_last
d089,train,answer_last
d098,train,answer_last
d045,train,answer_last
d050,train,answer_last
d031,train,answer_last
d006,train,answer_last
d036,train,answer_last
d075,train,answer_last
d053,train,answer_last
d071,train,answer_last
d021,train,answer_last
d038,train,answer_last
d013,train,answer_last
d060,train,answer_last
d004,train,answer_last
d016,train,answer_last
d072,train,answer_last
d062,train,answer_last
d080,train,answer_last
d011,train,answer_last
d020,train,answer_last
d055,train,answer_last
d048,train,answer_last
d079,train,answer_last
d076,train,answer_last
d091,train,answer_last
d019,train,answer_last
d056,train,answer_last
d005,train,answer_last
d096,train,answer_last
d041,train,answer_last
d086,train,answer_last
d067,train,answer_last
d015,train,answer_last
d026,train,answer_last
d010,train,answer_last
d008,train,answer_last
d088,train,answer_last
d092,train,answer_last
d094,train,answer_last
d078,train,answer_last
d069,train,answer_last
d077,train,answer_last
d007,train,answer_last
d032,train,answer_last
d051,train,answer_last
d100,train,answer_last
d044,train,answer_last
d012,train,answer_last
d042,train,answer_last
d014,train,answer_last
d046,train,answer_last
d085,test,answer_last
d033,test,answer_last
d024,test,answer_last
d063,test,answer_last
d027,test,answer_last
d054,test,answer_last
d047,test,answer_last
d093,test,answer_last
d065,test,answer_last
d052,test,answer_last
d064,test,answer_last
d002,test,answer_last
d058,test,answer_last
d066,test,answer_last
d025,test,answer_last
d057,test,answer_last
d090,test,answer_last
d081,test,answer_last
d084,test,answer_last
d073,test,answer_last
d017,test,answer_last
d003,test,answer_last
d099,test,answer_last
d040,test,answer_last
d049,test,answer_last
d043,test,answer_last
d070,test,answer_last
d034,test,answer_last
d074,test,answer_last
d037,test,answer_last
d097,test,answer_last
d068,test,answer_last
d095,test,answer_last
d059,test,answer_last
d061,test,answer_last
