bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,2,0.5,0.3844569124240187,0.11554308757598131
4,0.4,0.5,2,1.0,0.43447957370390894,0.5655204262960911
5,0.5,0.6000000000000001,1,1.0,0.507384524037658,0.492615475962342
6,0.6000000000000001,0.7000000000000001,1,1.0,0.6150915626201067,0.38490843737989333
7,0.7000000000000001,0.8,3,1.0,0.7388113844897456,0.2611886155102544
8,0.8,0.9,1,1.0,0.8930712878714157,0.10692871212858435
9,0.9,1.0,25,0.92,0.9855869042281113,0.06558690422811131
