bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,1,1.0,0.3970403847763785,0.6029596152236215
4,0.4,0.5,7,0.8571428571428571,0.4611712296868739,0.3959716274559832
5,0.5,0.6000000000000001,8,1.0,0.5459785727215671,0.45402142727843287
6,0.6000000000000001,0.7000000000000001,7,0.8571428571428571,0.6452400933221808,0.2119027638206763
7,0.7000000000000001,0.8,12,0.9166666666666666,0.744676470548383,0.1719901961182836
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
