bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,1,0.0,0.2743005904359575,0.2743005904359575
3,0.30000000000000004,0.4,1,0.0,0.388369714797206,0.388369714797206
4,0.4,0.5,1,1.0,0.46153980105451065,0.5384601989454894
5,0.5,0.6000000000000001,6,0.5,0.5595655473790694,0.05956554737906938
6,0.6000000000000001,0.7000000000000001,21,0.2857142857142857,0.6510966303206297,0.365382344606344
7,0.7000000000000001,0.8,29,0.6551724137931034,0.7459700598050792,0.09079764601197582
8,0.8,0.9,61,0.6721311475409836,0.8562818943833567,0.1841507468423731
9,0.9,1.0,80,0.8625,0.9599364025539504,0.09743640255395036
