bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,1,0.0,0.17974398302361186,0.17974398302361186
2,0.2,0.30000000000000004,10,0.2,0.26559110950104725,0.06559110950104724
3,0.30000000000000004,0.4,26,0.4230769230769231,0.3519932248833448,0.07108369819357829
4,0.4,0.5,58,0.6724137931034483,0.45040225553008145,0.22201153757336684
5,0.5,0.6000000000000001,61,0.8524590163934426,0.5461051195390261,0.3063538968544165
6,0.6000000000000001,0.7000000000000001,32,0.75,0.6438917335761964,0.10610826642380355
7,0.7000000000000001,0.8,12,0.9166666666666666,0.7395603052895908,0.1771063613770758
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
