bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,36,0.3611111111111111,0.017126879033181136,0.34398423207792994
1,0.1,0.2,10,0.3,0.15339743653224794,0.14660256346775205
2,0.2,0.30000000000000004,6,0.5,0.23220151879495843,0.26779848120504157
3,0.30000000000000004,0.4,3,1.0,0.3501070817161139,0.6498929182838862
4,0.4,0.5,5,0.8,0.43599355238379156,0.3640064476162085
5,0.5,0.6000000000000001,7,0.8571428571428571,0.5647867852520495,0.2923560718908076
6,0.6000000000000001,0.7000000000000001,15,0.3333333333333333,0.6487961944459798,0.3154628611126465
7,0.7000000000000001,0.8,23,0.782608695652174,0.7467609679657919,0.035847727686382
8,0.8,0.9,44,0.7954545454545454,0.8555611398473133,0.06010659439276789
9,0.9,1.0,51,0.9607843137254902,0.9599924511305257,0.0007918625949645541
