bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,4,0.5,0.09129511677282377,0.40870488322717624
1,0.1,0.2,21,0.5238095238095238,0.1275018532246108,0.396307670584913
2,0.2,0.3,32,0.6875,0.2866666666666667,0.4008333333333333
3,0.3,0.4,0,,,
4,0.4,0.5,0,,,
5,0.5,0.6,49,0.6530612244897959,0.5466101694915254,0.10645105499827046
6,0.6,0.7,45,0.8,0.6402497598463016,0.15975024015369843
7,0.7,0.8,22,0.8636363636363636,0.7834008097165992,0.08023555391976445
8,0.8,0.9,0,,,
9,0.9,1.0,27,0.9629629629629629,1.0,0.03703703703703709
