bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,3,0.3333333333333333,0.061085013713626325,0.27224831961970697
1,0.1,0.2,7,0.5714285714285714,0.1647823355715656,0.40664623585700577
2,0.2,0.3,17,0.5294117647058824,0.24652634306034193,0.2828854216455404
3,0.3,0.4,22,0.7272727272727273,0.3459992435873239,0.38127348368540337
4,0.4,0.5,22,0.6818181818181818,0.45799108215088713,0.22382709966729464
5,0.5,0.6,39,0.6666666666666666,0.551396838010585,0.1152698286560816
6,0.6,0.7,47,0.8085106382978723,0.6500851124815877,0.15842552581628455
7,0.7,0.8,43,0.9069767441860465,0.7291796872931123,0.17779705689293412
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
