bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,1,0.0,0.08900334225585689,0.08900334225585689
1,0.1,0.2,1,0.0,0.1597073249271238,0.1597073249271238
2,0.2,0.3,2,1.0,0.25546145468060566,0.7445385453193943
3,0.3,0.4,6,0.5,0.359639432084872,0.14036056791512802
4,0.4,0.5,13,0.46153846153846156,0.44606581282081514,0.01547264871764642
5,0.5,0.6,21,0.7142857142857143,0.5517083720863619,0.16257734219935238
6,0.6,0.7,23,0.6956521739130435,0.6563251515019349,0.039327022411108525
7,0.7,0.8,58,0.7068965517241379,0.7550569893804884,0.048160437656350474
8,0.8,0.9,75,0.8666666666666667,0.8436885195991489,0.022978147067517773
9,0.9,1.0,0,,,
