bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.3,0,,,
3,0.3,0.4,1,0.0,0.3694319441704777,0.3694319441704777
4,0.4,0.5,2,0.5,0.4583804956357611,0.04161950436423889
5,0.5,0.6,21,0.5238095238095238,0.5638476037334437,0.040038079923919834
6,0.6,0.7,44,0.7045454545454546,0.6487531270458963,0.055792327499558314
7,0.7,0.8,67,0.7313432835820896,0.7469022806225745,0.015558997040484912
8,0.8,0.9,37,0.7837837837837838,0.8460232504571569,0.0622394666733731
9,0.9,1.0,28,0.9642857142857143,0.9304487523363496,0.0338369619493647
