bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,1,0.0,0.17974398302361186,0.17974398302361186
2,0.2,0.3,10,0.3,0.2655911095010473,0.03440889049895268
3,0.3,0.4,26,0.5,0.35199322488334484,0.14800677511665516
4,0.4,0.5,58,0.6724137931034483,0.4504022555300815,0.22201153757336678
5,0.5,0.6,61,0.8852459016393442,0.5461051195390261,0.33914078210031817
6,0.6,0.7,32,0.875,0.6438917335761963,0.23110826642380367
7,0.7,0.8,12,0.9166666666666666,0.7395603052895908,0.1771063613770758
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
