bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,36,0.4444444444444444,0.017126879033181136,0.4273175654112633
1,0.1,0.2,10,0.3,0.15339743653224794,0.14660256346775205
2,0.2,0.3,6,0.5,0.23220151879495843,0.26779848120504157
3,0.3,0.4,3,1.0,0.3501070817161139,0.6498929182838862
4,0.4,0.5,5,0.8,0.43599355238379156,0.3640064476162085
5,0.5,0.6,7,0.8571428571428571,0.5647867852520495,0.2923560718908076
6,0.6,0.7,15,0.5333333333333333,0.6487961944459797,0.11546286111264636
7,0.7,0.8,23,0.8695652173913043,0.7467609679657919,0.12280424942551238
8,0.8,0.9,44,0.8181818181818182,0.8555611398473133,0.03737932166549507
9,0.9,1.0,51,0.9607843137254902,0.9599924511305256,0.0007918625949646652
