bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,36,0.4444444444444444,0.017126879033181136,0.4273175654112633
1,0.1,0.2,10,0.3,0.15339743653224794,0.14660256346775205
2,0.2,0.3,6,0.5,0.23220151879495843,0.26779848120504157
3,0.3,0.4,3,1.0,0.3501070817161139,0.6498929182838862
4,0.4,0.5,5,0.8,0.43599355238379156,0.3640064476162085
5,0.5,0.6,4,1.0,0.5675015371020191,0.4324984628979809
6,0.6,0.7,3,0.3333333333333333,0.6774973996048764,0.3441640662715431
7,0.7,0.8,8,0.75,0.7557901256507189,0.0057901256507189025
8,0.8,0.9,12,0.9166666666666666,0.8538997911160515,0.06276687555061511
9,0.9,1.0,113,0.8584070796460177,0.9870738738113236,0.1286667941653059
