bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.3,1,0.0,0.2743005904359575,0.2743005904359575
3,0.3,0.4,1,0.0,0.388369714797206,0.388369714797206
4,0.4,0.5,1,1.0,0.46153980105451065,0.5384601989454894
5,0.5,0.6,6,0.6666666666666666,0.5595655473790694,0.10710111928759725
6,0.6,0.7,21,0.47619047619047616,0.6510966303206296,0.17490615413015342
7,0.7,0.8,29,0.7586206896551724,0.7459700598050792,0.012650629850093131
8,0.8,0.9,61,0.6885245901639344,0.8562818943833567,0.16775730421942225
9,0.9,1.0,80,0.8625,0.9599364025539506,0.09743640255395059
