hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.65,True,False,2048,True,0.65,0.24897863108403392,0.31789896156341446,0.2909880753764364,64,35,0.5125274725274725
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.65,True,False,2048,True,0.65,0.01798923282351493,0.31642650228056657,0.22833024543798866,1,0,0.5125274725274725
answer_mean,-1,raw_platt_confidence,650,150,200,0.65,True,False,2048,True,0.65,0.01566246229386059,0.40568221469327115,0.22769123639426275,0,0,0.5125274725274725
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.65,True,False,2048,True,0.64,0.0606538461538462,1.0,0.24108909551986474,7,5,0.5312637362637362
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.65,True,False,2048,True,0.65,0.01566246229386059,0.40568221469327115,0.22769123639426275,0,0,0.5125274725274725
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.65,True,False,2048,True,0.64,0.05946390988108387,1.0,0.24057981046341362,7,5,0.5304945054945055
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.65,True,False,2048,True,0.835,0.1309193818363956,0.8474115614663809,0.132759141146059,15,12,0.9023076923076923
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.65,True,False,2048,True,0.835,0.0991828238490457,0.8474115614663809,0.12820518454388447,12,6,0.8763736263736264
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.65,True,False,2048,True,0.835,0.12401746401815023,0.844265499966216,0.13146811023106283,14,12,0.9027472527472528
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.65,True,False,2048,True,0.835,0.0925942720542378,0.844265499966216,0.12761071062642404,12,6,0.8762637362637362
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.65,True,False,2048,True,0.845,0.12311476510308031,0.7608621235209131,0.12217802442312348,13,12,0.9023076923076923
