bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,39,0.0,0.05070416465943302,0.05070416465943302
1,0.1,0.2,6,0.3333333333333333,0.1376042369199516,0.1957290964133817
2,0.2,0.30000000000000004,8,0.25,0.23571906081076016,0.014280939189239839
3,0.30000000000000004,0.4,14,0.7142857142857143,0.34845247982103433,0.36583323446467997
4,0.4,0.5,11,0.9090909090909091,0.44834314191414676,0.4607477671767623
5,0.5,0.6000000000000001,14,0.7142857142857143,0.5550635990385222,0.1592221152471921
6,0.6000000000000001,0.7000000000000001,18,0.7222222222222222,0.646991940962526,0.07523028125969622
7,0.7000000000000001,0.8,26,0.9230769230769231,0.7470948796181669,0.17598204345875623
8,0.8,0.9,33,0.8787878787878788,0.8457010547289089,0.0330868240589699
9,0.9,1.0,31,0.967741935483871,0.9445115655506946,0.023230369933176398
