bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,53,0.07547169811320754,0.006343147081328348,0.06912855103187919
1,0.1,0.2,8,0.75,0.15986606038377255,0.5901339396162275
2,0.2,0.30000000000000004,5,0.6,0.22943257357997465,0.3705674264200253
3,0.30000000000000004,0.4,4,0.75,0.3526205484180469,0.3973794515819531
4,0.4,0.5,1,1.0,0.45319796018528924,0.5468020398147108
5,0.5,0.6000000000000001,4,1.0,0.5440428643021502,0.4559571356978498
6,0.6000000000000001,0.7000000000000001,4,1.0,0.6469324457451116,0.35306755425488845
7,0.7000000000000001,0.8,13,0.6153846153846154,0.7600396124800699,0.14465499709545449
8,0.8,0.9,58,0.9137931034482759,0.8565354901076792,0.05725761334059676
9,0.9,1.0,50,0.88,0.9482683302038493,0.06826833020384926
