bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,53,0.07547169811320754,0.006343147081328348,0.06912855103187919
1,0.1,0.2,8,0.75,0.15986606038377255,0.5901339396162275
2,0.2,0.30000000000000004,5,0.6,0.22943257357997465,0.3705674264200253
3,0.30000000000000004,0.4,4,0.75,0.3526205484180469,0.3973794515819531
4,0.4,0.5,1,1.0,0.45319796018528924,0.5468020398147108
5,0.5,0.6000000000000001,4,1.0,0.5440428643021502,0.4559571356978498
6,0.6000000000000001,0.7000000000000001,3,1.0,0.6352095815146201,0.36479041848537985
7,0.7000000000000001,0.8,4,0.25,0.739845469114964,0.48984546911496396
8,0.8,0.9,10,0.9,0.8522382405686113,0.04776175943138872
9,0.9,1.0,108,0.8888888888888888,0.9877275126356658,0.09883862374677699
