bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,2,1.0,0.0,1.0
1,0.1,0.2,0,,,
2,0.2,0.3,0,,,
3,0.3,0.4,3,0.3333333333333333,0.3666666666666667,0.03333333333333338
4,0.4,0.5,146,0.636986301369863,0.46478873239436636,0.17219756897549665
5,0.5,0.6,17,0.5294117647058824,0.5657142857142857,0.036302521008403366
6,0.6,0.7,4,1.0,0.6346153846153846,0.3653846153846154
7,0.7,0.8,7,0.7142857142857143,0.776470588235294,0.06218487394957972
8,0.8,0.9,0,,,
9,0.9,1.0,21,0.8571428571428571,1.0,0.1428571428571429
