bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,39,0.02564102564102564,0.050704164659433025,0.025063139018407385
1,0.1,0.2,6,0.3333333333333333,0.13760423691995158,0.19572909641338174
2,0.2,0.3,8,0.25,0.2357190608107602,0.01428093918923981
3,0.3,0.4,14,0.7142857142857143,0.34845247982103433,0.36583323446467997
4,0.4,0.5,11,0.9090909090909091,0.44834314191414676,0.4607477671767623
5,0.5,0.6,14,0.7142857142857143,0.5550635990385222,0.1592221152471921
6,0.6,0.7,18,0.7777777777777778,0.646991940962526,0.1307858368152518
7,0.7,0.8,26,0.9230769230769231,0.7470948796181668,0.17598204345875634
8,0.8,0.9,33,0.8787878787878788,0.8457010547289089,0.0330868240589699
9,0.9,1.0,31,0.967741935483871,0.9445115655506946,0.023230369933176398
