bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,53,0.09433962264150944,0.006343147081328347,0.08799647556018109
1,0.1,0.2,8,0.75,0.15986606038377257,0.5901339396162274
2,0.2,0.3,5,0.6,0.22943257357997465,0.3705674264200253
3,0.3,0.4,4,0.75,0.35262054841804696,0.39737945158195304
4,0.4,0.5,1,1.0,0.45319796018528924,0.5468020398147108
5,0.5,0.6,4,1.0,0.5440428643021501,0.4559571356978499
6,0.6,0.7,4,1.0,0.6469324457451116,0.35306755425488845
7,0.7,0.8,13,0.6153846153846154,0.7600396124800699,0.14465499709545449
8,0.8,0.9,58,0.9137931034482759,0.8565354901076792,0.05725761334059676
9,0.9,1.0,50,0.9,0.9482683302038493,0.04826833020384924
