bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,53,0.09433962264150944,0.006343147081328347,0.08799647556018109
1,0.1,0.2,8,0.75,0.15986606038377257,0.5901339396162274
2,0.2,0.3,5,0.6,0.22943257357997465,0.3705674264200253
3,0.3,0.4,4,0.75,0.35262054841804696,0.39737945158195304
4,0.4,0.5,1,1.0,0.45319796018528924,0.5468020398147108
5,0.5,0.6,4,1.0,0.5440428643021501,0.4559571356978499
6,0.6,0.7,3,1.0,0.6352095815146201,0.36479041848537985
7,0.7,0.8,4,0.25,0.739845469114964,0.48984546911496396
8,0.8,0.9,10,0.9,0.8522382405686114,0.047761759431388606
9,0.9,1.0,108,0.8981481481481481,0.9877275126356657,0.08957936448751758
