hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.93,True,True,3072,True,0.93,0.03832356947089273,0.6546099210622672,0.05399405611010903,11,4,0.8300691244239631
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.93,True,True,3072,True,0.93,0.3228973879156024,0.33890955328151084,0.16564772717990667,0,0,0.8300691244239631
answer_mean,-1,raw_platt_confidence,650,150,200,0.93,True,True,3072,True,0.765,0.43000652920030946,0.476713208454266,0.24849630430697756,0,0,0.8300691244239631
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.93,True,True,3072,True,0.54,0.30798076923076934,0.5842760180995477,0.23704419378698238,2,2,0.6866359447004609
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.765,0.43000652920030946,0.476713208454266,0.24849630430697756,0,0,0.8300691244239631
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.54,0.3073671558386239,0.5842760180995477,0.23703821559207502,2,2,0.6730030721966206
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.05616244548599819,0.6147313669531319,0.06077653654837671,10,9,0.8229646697388633
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.03409268854086081,0.6147313669531319,0.051530217033617785,7,3,0.8767281105990783
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.054711850444004534,0.44712632119840734,0.05940881593385146,10,8,0.8333333333333334
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.0329711185600593,0.44712632119840734,0.05077944566447132,7,3,0.8774961597542242
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.93,True,True,3072,True,0.935,0.05241120988135872,0.9490462326420246,0.057295018024036866,8,7,0.8429339477726574
