bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,2,1.0,0.08478484701831855,0.9152151529816814
1,0.1,0.2,5,0.2,0.14198515845052057,0.058014841549479446
2,0.2,0.30000000000000004,12,0.8333333333333334,0.25778392382624904,0.5755494095070843
3,0.30000000000000004,0.4,22,0.8636363636363636,0.35081251558818916,0.5128238480481745
4,0.4,0.5,30,0.9666666666666667,0.45952137045723923,0.5071452962094274
5,0.5,0.6000000000000001,39,0.9230769230769231,0.5556535724846733,0.36742335059224984
6,0.6000000000000001,0.7000000000000001,31,0.967741935483871,0.6574981044172712,0.3102438310665998
7,0.7000000000000001,0.8,36,1.0,0.7399571596052689,0.26004284039473113
8,0.8,0.9,23,1.0,0.8379342727027522,0.16206572729724777
9,0.9,1.0,0,,,
