bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,3,0.6666666666666666,0.05193529577112515,0.6147313708955415
1,0.1,0.2,1,0.0,0.1114580021660855,0.1114580021660855
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,1,0.0,0.3055450876771029,0.3055450876771029
4,0.4,0.5,2,0.5,0.4114341994308749,0.08856580056912511
5,0.5,0.6000000000000001,0,,,
6,0.6000000000000001,0.7000000000000001,4,0.25,0.6617695218268937,0.41176952182689375
7,0.7000000000000001,0.8,2,1.0,0.7376622851145684,0.26233771488543156
8,0.8,0.9,16,0.75,0.8593117033760045,0.10931170337600449
9,0.9,1.0,171,0.9824561403508771,0.9797691924857619,0.0026869478651152523
