bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,3,0.6666666666666666,0.05193529577112515,0.6147313708955415
1,0.1,0.2,1,0.0,0.1114580021660855,0.1114580021660855
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,1,0.0,0.3055450876771029,0.3055450876771029
4,0.4,0.5,2,0.5,0.4114341994308749,0.08856580056912511
5,0.5,0.6000000000000001,0,,,
6,0.6000000000000001,0.7000000000000001,1,1.0,0.6832483241207733,0.3167516758792267
7,0.7000000000000001,0.8,1,1.0,0.7649151006762427,0.2350848993237573
8,0.8,0.9,5,0.8,0.8598317747147484,0.05983177471474832
9,0.9,1.0,186,0.9516129032258065,0.9943180910899477,0.042705187864141236
