bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,2,1.0,0.08478484701831855,0.9152151529816814
1,0.1,0.2,5,0.8,0.14198515845052057,0.6580148415494795
2,0.2,0.3,12,0.9166666666666666,0.25778392382624904,0.6588827428404176
3,0.3,0.4,22,0.9545454545454546,0.3508125155881891,0.6037329389572654
4,0.4,0.5,30,0.9666666666666667,0.4595213704572391,0.5071452962094276
5,0.5,0.6,39,0.9230769230769231,0.5556535724846733,0.36742335059224984
6,0.6,0.7,31,1.0,0.6574981044172713,0.3425018955827287
7,0.7,0.8,36,1.0,0.739957159605269,0.260042840394731
8,0.8,0.9,23,1.0,0.837934272702752,0.162065727297248
9,0.9,1.0,0,,,
