bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,3,1.0,0.05193529577112515,0.9480647042288749
1,0.1,0.2,1,1.0,0.1114580021660855,0.8885419978339145
2,0.2,0.3,0,,,
3,0.3,0.4,1,0.0,0.3055450876771029,0.3055450876771029
4,0.4,0.5,2,1.0,0.4114341994308749,0.5885658005691251
5,0.5,0.6,0,,,
6,0.6,0.7,1,1.0,0.6832483241207733,0.3167516758792267
7,0.7,0.8,1,1.0,0.7649151006762427,0.2350848993237573
8,0.8,0.9,5,0.8,0.8598317747147484,0.05983177471474832
9,0.9,1.0,186,0.9731182795698925,0.9943180910899477,0.021199811520055234
