bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,3,1.0,0.05193529577112515,0.9480647042288749
1,0.1,0.2,1,1.0,0.1114580021660855,0.8885419978339145
2,0.2,0.3,0,,,
3,0.3,0.4,1,0.0,0.3055450876771029,0.3055450876771029
4,0.4,0.5,2,1.0,0.4114341994308749,0.5885658005691251
5,0.5,0.6,0,,,
6,0.6,0.7,4,0.5,0.6617695218268937,0.16176952182689375
7,0.7,0.8,2,1.0,0.7376622851145684,0.26233771488543156
8,0.8,0.9,16,0.875,0.8593117033760045,0.015688296623995512
9,0.9,1.0,171,0.9883040935672515,0.9797691924857618,0.008534901081489688
