bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,1,0.0,0.0,0.0
1,0.1,0.2,3,0.0,0.17554781042473347,0.17554781042473347
2,0.2,0.30000000000000004,13,0.0,0.25077892089161646,0.25077892089161646
3,0.30000000000000004,0.4,30,0.03333333333333333,0.34733635574043,0.31400302240709665
4,0.4,0.5,43,0.13953488372093023,0.4468602520613971,0.30732536834046686
5,0.5,0.6000000000000001,41,0.17073170731707318,0.545412088505312,0.37468038118823876
6,0.6000000000000001,0.7000000000000001,28,0.21428571428571427,0.6441081825896904,0.4298224683039761
7,0.7000000000000001,0.8,20,0.25,0.7416243594723222,0.4916243594723222
8,0.8,0.9,9,0.3333333333333333,0.8534646951833041,0.5201313618499708
9,0.9,1.0,12,0.75,0.9560943339425276,0.20609433394252763
