bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,145,0.09655172413793103,0.008061327423563613,0.08849039671436743
1,0.1,0.2,7,0.42857142857142855,0.1298205413257661,0.29875088724566246
2,0.2,0.30000000000000004,8,0.375,0.258168274641155,0.116831725358845
3,0.30000000000000004,0.4,8,0.25,0.3582045215520532,0.10820452155205318
4,0.4,0.5,11,0.09090909090909091,0.43093021241184243,0.34002112150275154
5,0.5,0.6000000000000001,9,0.5555555555555556,0.5392621293918913,0.01629342616366425
6,0.6000000000000001,0.7000000000000001,4,0.75,0.657737775880918,0.09226222411908203
7,0.7000000000000001,0.8,3,0.6666666666666666,0.7638069215038255,0.09714025483715882
8,0.8,0.9,3,0.6666666666666666,0.8609805558286062,0.1943138891619396
9,0.9,1.0,2,1.0,0.9524906345428694,0.04750936545713058
