bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,145,0.09655172413793103,0.00837959424997848,0.08817212988795256
1,0.1,0.2,7,0.42857142857142855,0.1298205413257661,0.29875088724566246
2,0.2,0.30000000000000004,7,0.42857142857142855,0.255312990580281,0.17325843799114754
3,0.30000000000000004,0.4,3,0.3333333333333333,0.3651178382836977,0.03178450495036439
4,0.4,0.5,6,0.0,0.4300530530515316,0.4300530530515316
5,0.5,0.6000000000000001,6,0.6666666666666666,0.5387069698681137,0.1279596967985529
6,0.6000000000000001,0.7000000000000001,3,0.6666666666666666,0.6549192053148547,0.011747461351811928
7,0.7000000000000001,0.8,2,0.5,0.7587790471670819,0.2587790471670819
8,0.8,0.9,6,0.5,0.8466900605968544,0.34669006059685437
9,0.9,1.0,15,0.4,0.9709936456132511,0.570993645613251
