bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,6,0.0,0.0,0.0
1,0.1,0.2,43,0.023255813953488372,0.15802469135802477,0.1347688774045364
2,0.2,0.3,0,,,
3,0.3,0.4,40,0.2,0.384,0.184
4,0.4,0.5,79,0.20253164556962025,0.49230769230769234,0.2897760467380721
5,0.5,0.6,12,0.16666666666666666,0.5378151260504201,0.3711484593837535
6,0.6,0.7,2,0.5,0.6597938144329897,0.15979381443298968
7,0.7,0.8,2,0.0,0.7950310559006212,0.7950310559006212
8,0.8,0.9,16,0.6875,0.8927997119948445,0.20529971199484454
9,0.9,1.0,0,,,
