bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,1,0.0,0.0,0.0
1,0.1,0.2,5,0.0,0.1723029563626057,0.1723029563626057
2,0.2,0.3,33,0.030303030303030304,0.25307435025985026,0.22277131995681995
3,0.3,0.4,46,0.15217391304347827,0.34968831031255615,0.19751439726907788
4,0.4,0.5,45,0.17777777777777778,0.4477464391349429,0.26996866135716513
5,0.5,0.6,29,0.20689655172413793,0.5468552428909165,0.33995869116677857
6,0.6,0.7,21,0.23809523809523808,0.6404791942051653,0.4023839561099272
7,0.7,0.8,13,0.46153846153846156,0.752952413934489,0.2914139523960274
8,0.8,0.9,7,0.8571428571428571,0.8128001433697719,0.044342713773085185
9,0.9,1.0,0,,,
