bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,1,0.0,0.00016375142385874526,0.00016375142385874526
1,0.1,0.2,0,,,
2,0.2,0.3,4,0.0,0.2781996051324015,0.2781996051324015
3,0.3,0.4,27,0.0,0.36402401564535614,0.36402401564535614
4,0.4,0.5,58,0.15517241379310345,0.45365292097597787,0.29848050718287444
5,0.5,0.6,60,0.16666666666666666,0.5455021770097414,0.3788355103430747
6,0.6,0.7,29,0.27586206896551724,0.6468392618232641,0.3709771928577469
7,0.7,0.8,9,0.3333333333333333,0.7536727731834003,0.420339439850067
8,0.8,0.9,9,0.6666666666666666,0.8618721668809393,0.19520550021427263
9,0.9,1.0,3,1.0,0.9445061504838422,0.05549384951615777
