bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,2,0.0,0.09285738690391074,0.09285738690391074
1,0.1,0.2,12,0.0,0.1530469684210106,0.1530469684210106
2,0.2,0.3,26,0.038461538461538464,0.2506838160500679,0.21222227758852943
3,0.3,0.4,45,0.08888888888888889,0.3442386574838205,0.2553497685949316
4,0.4,0.5,36,0.08333333333333333,0.448993355137367,0.3656600218040337
5,0.5,0.6,29,0.27586206896551724,0.5526408240353994,0.27677875506988214
6,0.6,0.7,28,0.39285714285714285,0.6487938465670212,0.25593670370987837
7,0.7,0.8,16,0.5,0.7433553171481473,0.2433553171481473
8,0.8,0.9,6,0.6666666666666666,0.8349079986612332,0.1682413319945666
9,0.9,1.0,0,,,
