bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,145,0.09655172413793103,0.00837959424997848,0.08817212988795256
1,0.1,0.2,7,0.42857142857142855,0.1298205413257661,0.29875088724566246
2,0.2,0.3,7,0.42857142857142855,0.255312990580281,0.17325843799114754
3,0.3,0.4,3,0.3333333333333333,0.3651178382836977,0.03178450495036439
4,0.4,0.5,6,0.0,0.4300530530515316,0.4300530530515316
5,0.5,0.6,6,0.6666666666666666,0.5387069698681138,0.1279596967985528
6,0.6,0.7,3,0.6666666666666666,0.6549192053148547,0.011747461351811928
7,0.7,0.8,2,0.5,0.7587790471670819,0.2587790471670819
8,0.8,0.9,6,0.6666666666666666,0.8466900605968544,0.18002339393018774
9,0.9,1.0,15,0.4666666666666667,0.9709936456132511,0.5043269789465844
