bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,0,,,
5,0.5,0.6000000000000001,4,0.0,0.5462500975188567,0.5462500975188567
6,0.6000000000000001,0.7000000000000001,30,0.1,0.652154964088379,0.552154964088379
7,0.7000000000000001,0.8,48,0.10416666666666667,0.7603173619765483,0.6561506953098817
8,0.8,0.9,84,0.27380952380952384,0.8469309523209481,0.5731214285114242
9,0.9,1.0,34,0.4411764705882353,0.9381832130870966,0.49700674249886134
