bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,11,0.0,0.16540816822355078,0.16540816822355078
2,0.2,0.30000000000000004,40,0.05,0.2499457899270065,0.1999457899270065
3,0.30000000000000004,0.4,44,0.1590909090909091,0.34704554726822895,0.18795463817731986
4,0.4,0.5,32,0.125,0.45342377170161996,0.32842377170161996
5,0.5,0.6000000000000001,29,0.4482758620689655,0.5511576388048112,0.10288177673584564
6,0.6000000000000001,0.7000000000000001,24,0.4583333333333333,0.6620106726963761,0.20367733936304283
7,0.7000000000000001,0.8,10,0.5,0.7374071882057864,0.23740718820578643
8,0.8,0.9,10,0.4,0.8435077946316666,0.44350779463166656
9,0.9,1.0,0,,,
