bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,11,0.0,0.1654081682235508,0.1654081682235508
2,0.2,0.3,40,0.075,0.2499457899270065,0.1749457899270065
3,0.3,0.4,44,0.18181818181818182,0.34704554726822895,0.16522736545004713
4,0.4,0.5,32,0.15625,0.45342377170161996,0.29717377170161996
5,0.5,0.6,29,0.4482758620689655,0.5511576388048111,0.10288177673584553
6,0.6,0.7,24,0.5416666666666666,0.6620106726963763,0.12034400602970963
7,0.7,0.8,10,0.6,0.7374071882057864,0.13740718820578646
8,0.8,0.9,10,0.4,0.8435077946316666,0.44350779463166656
9,0.9,1.0,0,,,
