bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,141,0.15602836879432624,0.009884593469772933,0.1461437753245533
1,0.1,0.2,6,0.5,0.15088584349208178,0.3491141565079182
2,0.2,0.3,8,0.375,0.24620589561068534,0.12879410438931466
3,0.3,0.4,1,1.0,0.30382082947201466,0.6961791705279854
4,0.4,0.5,3,0.3333333333333333,0.43378339066330956,0.10045005732997625
5,0.5,0.6,1,0.0,0.5721787851755142,0.5721787851755142
6,0.6,0.7,5,0.8,0.6341164964331358,0.1658835035668642
7,0.7,0.8,6,0.6666666666666666,0.7696438975249759,0.10297723085830923
8,0.8,0.9,9,0.4444444444444444,0.8426112204568013,0.39816677601235684
9,0.9,1.0,20,0.5,0.9777097059430112,0.4777097059430112
