bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,141,0.15602836879432624,0.009884593469772933,0.1461437753245533
1,0.1,0.2,6,0.5,0.15088584349208178,0.3491141565079182
2,0.2,0.3,8,0.375,0.24620589561068534,0.12879410438931466
3,0.3,0.4,1,1.0,0.30382082947201466,0.6961791705279854
4,0.4,0.5,3,0.3333333333333333,0.43378339066330956,0.10045005732997625
5,0.5,0.6,1,0.0,0.5721787851755142,0.5721787851755142
6,0.6,0.7,9,0.6666666666666666,0.6511701077025641,0.015496558964102514
7,0.7,0.8,11,0.5454545454545454,0.7672728857054648,0.2218183402509194
8,0.8,0.9,14,0.42857142857142855,0.8406556585114515,0.412084229940023
9,0.9,1.0,6,0.6666666666666666,0.9386550304089915,0.2719883637423248
