bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,2,0.0,0.31602344524178294,0.31602344524178294
4,0.4,0.5,3,0.0,0.43657978778985723,0.43657978778985723
5,0.5,0.6000000000000001,6,0.0,0.5677124346719619,0.5677124346719619
6,0.6000000000000001,0.7000000000000001,11,0.09090909090909091,0.6586203796496224,0.5677112887405315
7,0.7000000000000001,0.8,36,0.25,0.7417504792911336,0.4917504792911336
8,0.8,0.9,46,0.41304347826086957,0.8515345223418879,0.4384910440810183
9,0.9,1.0,96,0.8229166666666666,0.9677584824721976,0.14484181580553102
