bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,12,0.0,0.06290785552841534,0.06290785552841534
1,0.1,0.2,19,0.2631578947368421,0.15314246269510048,0.1100154320417416
2,0.2,0.30000000000000004,20,0.2,0.2433188001648511,0.043318800164851096
3,0.30000000000000004,0.4,23,0.391304347826087,0.34604441928103774,0.04525992854504923
4,0.4,0.5,22,0.45454545454545453,0.4390348779820685,0.015510576563386003
5,0.5,0.6000000000000001,21,0.6190476190476191,0.5474042655660122,0.07164335348160689
6,0.6000000000000001,0.7000000000000001,22,0.6818181818181818,0.6439666487518687,0.03785153306631306
7,0.7000000000000001,0.8,23,0.782608695652174,0.7477835553234355,0.0348251403287384
8,0.8,0.9,24,0.875,0.8476252889171191,0.02737471108288092
9,0.9,1.0,14,0.9285714285714286,0.9317768865018555,0.003205457930426925
