bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,69,0.21739130434782608,0.015400021934861386,0.20199128241296468
1,0.1,0.2,15,0.4666666666666667,0.14708478066197372,0.31958188600469295
2,0.2,0.30000000000000004,7,0.42857142857142855,0.259864284997638,0.16870714357379057
3,0.30000000000000004,0.4,1,1.0,0.3045275962248775,0.6954724037751225
4,0.4,0.5,6,0.6666666666666666,0.4400432058933251,0.22662346077334156
5,0.5,0.6000000000000001,6,0.5,0.5286231777400832,0.02862317774008316
6,0.6000000000000001,0.7000000000000001,10,0.6,0.6564588485357179,0.05645884853571792
7,0.7000000000000001,0.8,12,0.5,0.748312065719929,0.24831206571992903
8,0.8,0.9,25,0.68,0.8538791818358651,0.17387918183586504
9,0.9,1.0,49,0.9387755102040817,0.9693951484432743,0.03061963823919267
