bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,5,0.0,0.042536506896330525,0.042536506896330525
1,0.1,0.2,9,0.0,0.1418927196422595,0.1418927196422595
2,0.2,0.3,16,0.1875,0.26011598966843263,0.07261598966843263
3,0.3,0.4,22,0.36363636363636365,0.32925976396305184,0.0343765996733118
4,0.4,0.5,23,0.34782608695652173,0.44201826252740495,0.09419217557088322
5,0.5,0.6,27,0.48148148148148145,0.5532940495970583,0.07181256811557685
6,0.6,0.7,36,0.7222222222222222,0.6527636706337044,0.06945855158851777
7,0.7,0.8,62,0.8709677419354839,0.7370375921307802,0.13393014980470364
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
