bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,12,0.0,0.06290785552841534,0.06290785552841534
1,0.1,0.2,19,0.3684210526315789,0.15314246269510048,0.21527858993647844
2,0.2,0.3,20,0.2,0.2433188001648511,0.043318800164851096
3,0.3,0.4,23,0.34782608695652173,0.34604441928103774,0.0017816676754839889
4,0.4,0.5,22,0.45454545454545453,0.4390348779820684,0.015510576563386114
5,0.5,0.6,21,0.6190476190476191,0.5474042655660123,0.07164335348160678
6,0.6,0.7,22,0.7272727272727273,0.6439666487518688,0.08330607852085847
7,0.7,0.8,23,0.8260869565217391,0.7477835553234355,0.07830340119830359
8,0.8,0.9,24,0.9166666666666666,0.8476252889171191,0.06904137774954755
9,0.9,1.0,14,0.9285714285714286,0.9317768865018555,0.003205457930426925
