bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,8,0.0,0.0,0.0
1,0.1,0.2,17,0.11764705882352941,0.17647058823529413,0.05882352941176472
2,0.2,0.3,0,,,
3,0.3,0.4,30,0.3333333333333333,0.3157894736842105,0.017543859649122806
4,0.4,0.5,13,0.38461538461538464,0.4175824175824176,0.03296703296703296
5,0.5,0.6,95,0.631578947368421,0.5593684210526316,0.07221052631578939
6,0.6,0.7,3,1.0,0.6666666666666666,0.33333333333333337
7,0.7,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,34,0.9411764705882353,1.0,0.05882352941176472
