bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.3,0,,,
3,0.3,0.4,2,0.0,0.31602344524178294,0.31602344524178294
4,0.4,0.5,3,0.0,0.43657978778985723,0.43657978778985723
5,0.5,0.6,6,0.0,0.5677124346719619,0.5677124346719619
6,0.6,0.7,11,0.18181818181818182,0.6586203796496224,0.47680219783144057
7,0.7,0.8,36,0.2777777777777778,0.7417504792911336,0.4639727015133558
8,0.8,0.9,46,0.45652173913043476,0.8515345223418881,0.39501278321145333
9,0.9,1.0,96,0.8229166666666666,0.9677584824721976,0.14484181580553102
