bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,1,1.0,0.3970403847763785,0.6029596152236215
4,0.4,0.5,8,0.875,0.460643021892284,0.414356978107716
5,0.5,0.6000000000000001,8,1.0,0.5459785727215671,0.45402142727843287
6,0.6000000000000001,0.7000000000000001,7,0.8571428571428571,0.6452400933221808,0.2119027638206763
7,0.7000000000000001,0.8,11,0.9090909090909091,0.7469981482048311,0.16209276088607794
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
